depth (m),salinity (psu),temperature (deg C)
1.0,26.621155041948107,5.920235610233584
2.0,26.66784195569673,5.9821640192261665
3.0,26.751965215030268,6.088302009455385
4.0,26.857110065982184,6.21200581416451
5.0,26.964028267728118,6.3295926929278
6.0,27.056966170436702,6.428307793712976
7.0,27.129031018232418,6.506917437244674
8.0,27.182434144953152,6.570733939456902
9.0,27.223718208675685,6.625803268733899
10.0,27.25858388837608,6.675752352438524
11.0,27.28965546305469,6.721370679711848
12.0,27.316969673803037,6.761465597516215
13.0,27.33959766341466,6.794235115734543
14.0,27.357150269698764,6.81879080811394
15.0,27.370434578837084,6.836043866245404
16.0,27.381075488849515,6.848373733630956
17.0,27.390679226150887,6.858518783484618
18.0,27.40026924953282,6.868586987607729
19.0,27.41026487259475,6.879723338405177
20.0,27.420692217226183,6.892298445351912
21.0,27.431305824068634,6.906159824256962
22.0,27.441690187455794,6.920781487090582
23.0,27.451556538501222,6.935536124794222
24.0,27.46112549539059,6.950164944315688
25.0,27.471182893823993,6.9650524075486455
26.0,27.48262039747241,6.980932047736717
27.0,27.495886579862567,6.998286523322921
28.0,27.510946825765572,7.01713638864908
29.0,27.527734517296395,7.037437997374866
30.0,27.54648174314719,7.059508981448904
31.0,27.567522361649743,7.08390379463958
32.0,27.590806049287306,7.110905811863033
33.0,27.615669362733357,7.140184939296838
34.0,27.641169428331395,7.170859678562104
35.0,27.666737988630288,7.201864884002303
36.0,27.69253825866872,7.232432514403919
37.0,27.719168057338315,7.262392807677054
38.0,27.74701380044212,7.291984382308399
39.0,27.77581502377933,7.321258561115348
40.0,27.80466873883494,7.349648127314049
41.0,27.832356804884363,7.376129252745047
42.0,27.857787933155485,7.399730906178046
43.0,27.880346634523995,7.419852121214699
44.0,27.90000392857744,7.43623896597898
45.0,27.91721359927579,7.4488682513676725
46.0,27.932736103979646,7.457940086610234
47.0,27.947459965849582,7.463999378225051
48.0,27.962207365052777,7.46813450088324
49.0,27.97758978518109,7.472119683767136
50.0,27.994034323850553,7.47828234211606
51.0,28.0119108737654,7.488988267911035
52.0,28.03152658749843,7.505916266743918
53.0,28.05292348003686,7.529454634033348
54.0,28.075687057930708,7.55843124718151
55.0,28.09896512683998,7.590222639488601
56.0,28.12169730276673,7.6212854036607265
57.0,28.142956537636337,7.648135187714757
58.0,28.162289804773767,7.6684898564647135
59.0,28.17989806105588,7.681967011130931
60.0,28.196497221566858,7.689967898884449
61.0,28.212881912126583,7.69498115614075
62.0,28.229435131113412,7.699661835731766
63.0,28.245891802684003,7.705825019054124
64.0,28.261537781853832,7.713737290955462
65.0,28.275720018217765,7.7223120705887
66.0,28.288253662319313,7.730113014044795
67.0,28.29940398239375,7.736235531056254
68.0,28.30956041876497,7.740436574280438
69.0,28.318964537765225,7.742804776247309
70.0,28.327669395102664,7.743503148363738
71.0,28.33563965201092,7.74270818205431
72.0,28.342860778507266,7.740638013702095
73.0,28.349407855238226,7.73763441894676
74.0,28.35545902496239,7.73423752903594
75.0,28.361254906104655,7.7310943456638626
76.0,28.367046236981075,7.728701705847476
77.0,28.3730861869502,7.727221647014552
78.0,28.379668742563496,7.72652430881331
79.0,28.387131990111154,7.726353537375363
80.0,28.395736373051108,7.726459383205969
81.0,28.40545914127687,7.726653871625771
82.0,28.415907164174286,7.726796995713277
83.0,28.426495152090435,7.7267342368934315
84.0,28.436751346082644,7.726271229678662
85.0,28.446463876328927,7.725262910106969
86.0,28.45559977839781,7.723744519887891
87.0,28.46418106051289,7.721949714977115
88.0,28.472249579411123,7.720178398642955
89.0,28.479876027166192,7.718629074417931
90.0,28.48714864498743,7.717321909591932
91.0,28.49415572272496,7.716144894805246
92.0,28.50098732189519,7.714962389216656
93.0,28.507733917509213,7.713691592385866
94.0,28.514454347004552,7.712306329168641
95.0,28.521134840872186,7.710808241097068
96.0,28.527690689829114,7.709214094362732
97.0,28.53401368797244,7.707549291438875
98.0,28.54002317513597,7.7058273539978455
99.0,28.54570476771689,7.704036319951037
100.0,28.551137635213934,7.702153285474466
101.0,28.556476300727603,7.700168381923968
102.0,28.561865827205462,7.698091730702275
103.0,28.567342590590787,7.695946066594597
104.0,28.57279887085499,7.693767754910814
105.0,28.578038261022034,7.691622191954016
106.0,28.582887326242215,7.6896040016415945
107.0,28.587291631745693,7.687794746494866
108.0,28.591329853291434,7.686208570656005
109.0,28.595143186788455,7.684787191361526
110.0,28.598849398209822,7.683446797213993
